date,region,ias_regional
2023-11-10,Provence-Alpes-Côte d'Azur,0.11
2023-11-10,Île-de-France,0.03
2023-11-11,Auvergne-Rhône-Alpes,0.35
2023-11-11,Bourgogne-Franche-Comté,0.2
2023-11-11,Bretagne,0.41
2023-11-11,Centre-Val de Loire,0.26
2023-11-11,Corse,64.895
2023-11-11,Grand Est,0.18333333333333335
2023-11-11,Hauts-de-France,0.64
2023-11-11,Normandie,0.065
2023-11-11,Nouvelle-Aquitaine,0.3433333333333333
2023-11-11,Occitanie,0.3925
2023-11-11,Pays de la Loire,0.08
2023-11-11,Provence-Alpes-Côte d'Azur,0.08
2023-11-11,Île-de-France,0.02
2023-11-12,Auvergne-Rhône-Alpes,0.42000000000000004
2023-11-12,Bourgogne-Franche-Comté,0.16
2023-11-12,Bretagne,0.34
2023-11-12,Centre-Val de Loire,0.25
2023-11-12,Corse,124.315
2023-11-12,Grand Est,0.17
2023-11-12,Hauts-de-France,0.635
2023-11-12,Normandie,0.0775
2023-11-12,Nouvelle-Aquitaine,0.35000000000000003
2023-11-12,Occitanie,0.325
2023-11-12,Pays de la Loire,0.09
2023-11-12,Provence-Alpes-Côte d'Azur,0.06
2023-11-12,Île-de-France,0.03
2023-11-13,Auvergne-Rhône-Alpes,0.51
2023-11-13,Bourgogne-Franche-Comté,0.125
2023-11-13,Bretagne,0.275
2023-11-13,Centre-Val de Loire,0.25
2023-11-13,Corse,195.11
2023-11-13,Grand Est,0.17
2023-11-13,Hauts-de-France,0.64
2023-11-13,Normandie,0.08
2023-11-13,Nouvelle-Aquitaine,0.37666666666666665
2023-11-13,Occitanie,0.27
2023-11-13,Pays de la Loire,0.11
2023-11-13,Provence-Alpes-Côte d'Azur,0.05
2023-11-13,Île-de-France,0.03
2023-11-14,Auvergne-Rhône-Alpes,0.585
2023-11-14,Bourgogne-Franche-Comté,0.1
2023-11-14,Bretagne,0.24
2023-11-14,Centre-Val de Loire,0.26
2023-11-14,Corse,241.955
2023-11-14,Grand Est,0.17666666666666667
2023-11-14,Hauts-de-France,0.6525000000000001
2023-11-14,Normandie,0.0875
2023-11-14,Nouvelle-Aquitaine,0.4266666666666667
2023-11-14,Occitanie,0.245
2023-11-14,Pays de la Loire,0.13
2023-11-14,Provence-Alpes-Côte d'Azur,0.06
2023-11-14,Île-de-France,0.03
2023-11-15,Auvergne-Rhône-Alpes,0.62
2023-11-15,Bourgogne-Franche-Comté,0.08499999999999999
2023-11-15,Bretagne,0.215
2023-11-15,Centre-Val de Loire,0.27
2023-11-15,Corse,256.49
2023-11-15,Grand Est,0.18500000000000003
2023-11-15,Hauts-de-France,0.7100000000000001
2023-11-15,Normandie,0.10250000000000001
2023-11-15,Nouvelle-Aquitaine,0.47666666666666674
2023-11-15,Occitanie,0.2425
2023-11-15,Pays de la Loire,0.16
2023-11-15,Provence-Alpes-Côte d'Azur,0.08
2023-11-15,Île-de-France,0.04
2023-11-16,Auvergne-Rhône-Alpes,0.655
2023-11-16,Bourgogne-Franche-Comté,0.08499999999999999
2023-11-16,Bretagne,0.2
2023-11-16,Centre-Val de Loire,0.27
2023-11-16,Corse,217.64
2023-11-16,Grand Est,0.20000000000000004
2023-11-16,Hauts-de-France,0.7150000000000001
2023-11-16,Normandie,0.11
2023-11-16,Nouvelle-Aquitaine,0.49
2023-11-16,Occitanie,0.245
2023-11-16,Pays de la Loire,0.185
2023-11-16,Provence-Alpes-Côte d'Azur,0.11
2023-11-16,Île-de-France,0.04
2023-11-17,Auvergne-Rhône-Alpes,0.655
2023-11-17,Bourgogne-Franche-Comté,0.105
2023-11-17,Bretagne,0.21
2023-11-17,Centre-Val de Loire,0.28
2023-11-17,Corse,146.795
2023-11-17,Grand Est,0.22166666666666668
2023-11-17,Hauts-de-France,0.7325
2023-11-17,Normandie,0.135
2023-11-17,Nouvelle-Aquitaine,0.5066666666666667
2023-11-17,Occitanie,0.235
2023-11-17,Pays de la Loire,0.22
2023-11-17,Provence-Alpes-Côte d'Azur,0.14
2023-11-17,Île-de-France,0.05
2023-11-18,Auvergne-Rhône-Alpes,0.66
2023-11-18,Bourgogne-Franche-Comté,0.14
2023-11-18,Bretagne,0.25
2023-11-18,Centre-Val de Loire,0.33
2023-11-18,Corse,83.765
2023-11-18,Grand Est,0.24
2023-11-18,Hauts-de-France,0.71
2023-11-18,Normandie,0.1525
2023-11-18,Nouvelle-Aquitaine,0.49666666666666665
2023-11-18,Occitanie,0.22749999999999998
2023-11-18,Pays de la Loire,0.255
2023-11-18,Provence-Alpes-Côte d'Azur,0.19
2023-11-18,Île-de-France,0.06
2023-11-19,Auvergne-Rhône-Alpes,0.6799999999999999
2023-11-19,Bourgogne-Franche-Comté,0.17500000000000002
2023-11-19,Bretagne,0.31
2023-11-19,Centre-Val de Loire,0.38
2023-11-19,Corse,39.05
2023-11-19,Grand Est,0.2583333333333333
2023-11-19,Hauts-de-France,0.5925
2023-11-19,Normandie,0.155
2023-11-19,Nouvelle-Aquitaine,0.5266666666666667
2023-11-19,Occitanie,0.22
2023-11-19,Pays de la Loire,0.305
2023-11-19,Provence-Alpes-Côte d'Azur,0.26
2023-11-19,Île-de-France,0.06
2023-11-20,Auvergne-Rhône-Alpes,0.6950000000000001
2023-11-20,Bourgogne-Franche-Comté,0.2
2023-11-20,Bretagne,0.38
2023-11-20,Centre-Val de Loire,0.45
2023-11-20,Corse,15.245
2023-11-20,Grand Est,0.27666666666666667
2023-11-20,Hauts-de-France,0.57
2023-11-20,Normandie,0.1575
2023-11-20,Nouvelle-Aquitaine,0.5666666666666667
2023-11-20,Occitanie,0.235
2023-11-20,Pays de la Loire,0.36
2023-11-20,Provence-Alpes-Côte d'Azur,0.38
2023-11-20,Île-de-France,0.07
2023-11-21,Auvergne-Rhône-Alpes,0.7075
2023-11-21,Bourgogne-Franche-Comté,0.23
2023-11-21,Bretagne,0.44
2023-11-21,Centre-Val de Loire,0.49
2023-11-21,Corse,9.955
2023-11-21,Grand Est,0.2816666666666667
2023-11-21,Hauts-de-France,0.5599999999999999
2023-11-21,Normandie,0.14
2023-11-21,Nouvelle-Aquitaine,0.6433333333333334
2023-11-21,Occitanie,0.22749999999999998
2023-11-21,Pays de la Loire,0.38
2023-11-21,Provence-Alpes-Côte d'Azur,0.52
2023-11-21,Île-de-France,0.06
2023-11-22,Auvergne-Rhône-Alpes,0.725
2023-11-22,Bourgogne-Franche-Comté,0.24
2023-11-22,Bretagne,0.48
2023-11-22,Centre-Val de Loire,0.54
2023-11-22,Corse,16.965
2023-11-22,Grand Est,0.27666666666666667
2023-11-22,Hauts-de-France,0.5349999999999999
2023-11-22,Normandie,0.125
2023-11-22,Nouvelle-Aquitaine,0.7216666666666667
2023-11-22,Occitanie,0.2125
2023-11-22,Pays de la Loire,0.35
2023-11-22,Provence-Alpes-Côte d'Azur,0.64
2023-11-22,Île-de-France,0.06
2023-11-23,Auvergne-Rhône-Alpes,0.725
2023-11-23,Bourgogne-Franche-Comté,0.23249999999999998
2023-11-23,Bretagne,0.52
2023-11-23,Centre-Val de Loire,0.56
2023-11-23,Corse,38.34
2023-11-23,Grand Est,0.27499999999999997
2023-11-23,Hauts-de-France,0.48
2023-11-23,Normandie,0.1075
2023-11-23,Nouvelle-Aquitaine,0.7766666666666667
2023-11-23,Occitanie,0.21000000000000002
2023-11-23,Pays de la Loire,0.32
2023-11-23,Provence-Alpes-Côte d'Azur,0.71
2023-11-23,Île-de-France,0.06
2023-11-24,Auvergne-Rhône-Alpes,0.755
2023-11-24,Bourgogne-Franche-Comté,0.22499999999999998
2023-11-24,Bretagne,0.555
2023-11-24,Centre-Val de Loire,0.61
2023-11-24,Corse,68.885
2023-11-24,Grand Est,0.285
2023-11-24,Hauts-de-France,0.335
2023-11-24,Normandie,0.09
2023-11-24,Nouvelle-Aquitaine,0.8816666666666667
2023-11-24,Occitanie,0.2475
2023-11-24,Pays de la Loire,0.31
2023-11-24,Provence-Alpes-Côte d'Azur,0.74
2023-11-24,Île-de-France,0.07
2023-11-25,Auvergne-Rhône-Alpes,0.775
2023-11-25,Bourgogne-Franche-Comté,0.22
2023-11-25,Bretagne,0.585
2023-11-25,Centre-Val de Loire,0.63
2023-11-25,Corse,86.3
2023-11-25,Grand Est,0.295
2023-11-25,Hauts-de-France,0.2375
2023-11-25,Normandie,0.0875
2023-11-25,Nouvelle-Aquitaine,0.9933333333333333
2023-11-25,Occitanie,0.35250000000000004
2023-11-25,Pays de la Loire,0.31
2023-11-25,Provence-Alpes-Côte d'Azur,0.7
2023-11-25,Île-de-France,0.08
2023-11-26,Auvergne-Rhône-Alpes,0.7925
2023-11-26,Bourgogne-Franche-Comté,0.22
2023-11-26,Bretagne,0.61
2023-11-26,Centre-Val de Loire,0.65
2023-11-26,Corse,81.68
2023-11-26,Grand Est,0.2966666666666667
2023-11-26,Hauts-de-France,0.185
2023-11-26,Normandie,0.08499999999999999
2023-11-26,Nouvelle-Aquitaine,1.0966666666666667
2023-11-26,Occitanie,0.5
2023-11-26,Pays de la Loire,0.31
2023-11-26,Provence-Alpes-Côte d'Azur,0.71
2023-11-26,Île-de-France,0.09
2023-11-27,Auvergne-Rhône-Alpes,0.7975
2023-11-27,Bourgogne-Franche-Comté,0.21000000000000002
2023-11-27,Bretagne,0.64
2023-11-27,Centre-Val de Loire,0.66
2023-11-27,Corse,60.795
2023-11-27,Grand Est,0.2866666666666667
2023-11-27,Hauts-de-France,0.16999999999999998
2023-11-27,Normandie,0.0875
2023-11-27,Nouvelle-Aquitaine,1.15
2023-11-27,Occitanie,0.6849999999999999
2023-11-27,Pays de la Loire,0.37
2023-11-27,Provence-Alpes-Côte d'Azur,0.71
2023-11-27,Île-de-France,0.11
2023-11-28,Auvergne-Rhône-Alpes,0.8
2023-11-28,Bourgogne-Franche-Comté,0.21250000000000002
2023-11-28,Bretagne,0.67
2023-11-28,Centre-Val de Loire,0.7
2023-11-28,Corse,39.56
2023-11-28,Grand Est,0.2966666666666667
2023-11-28,Hauts-de-France,0.17
2023-11-28,Normandie,0.0975
2023-11-28,Nouvelle-Aquitaine,1.1866666666666668
2023-11-28,Occitanie,0.785
2023-11-28,Pays de la Loire,0.48
2023-11-28,Provence-Alpes-Côte d'Azur,0.65
2023-11-28,Île-de-France,0.13
2023-11-29,Auvergne-Rhône-Alpes,0.85
2023-11-29,Bourgogne-Franche-Comté,0.235
2023-11-29,Bretagne,0.8
2023-11-29,Centre-Val de Loire,0.82
2023-11-29,Corse,24.7
2023-11-29,Grand Est,0.3566666666666667
2023-11-29,Hauts-de-France,0.21000000000000002
2023-11-29,Normandie,0.1225
2023-11-29,Nouvelle-Aquitaine,1.2666666666666666
2023-11-29,Occitanie,0.8474999999999999
2023-11-29,Pays de la Loire,0.58
2023-11-29,Provence-Alpes-Côte d'Azur,0.66
2023-11-29,Île-de-France,0.16
2023-11-30,Auvergne-Rhône-Alpes,0.9400000000000001
2023-11-30,Bourgogne-Franche-Comté,0.28
2023-11-30,Bretagne,0.945
2023-11-30,Centre-Val de Loire,1.04
2023-11-30,Corse,15.315
2023-11-30,Grand Est,0.4583333333333333
2023-11-30,Hauts-de-France,0.3
2023-11-30,Normandie,0.16
2023-11-30,Nouvelle-Aquitaine,1.41
2023-11-30,Occitanie,0.8674999999999999
2023-11-30,Pays de la Loire,0.665
2023-11-30,Provence-Alpes-Côte d'Azur,0.7
2023-11-30,Île-de-France,0.19
2023-12-01,Auvergne-Rhône-Alpes,1.115
2023-12-01,Bourgogne-Franche-Comté,0.33499999999999996
2023-12-01,Bretagne,1.115
2023-12-01,Centre-Val de Loire,1.3
2023-12-01,Corse,8.79
2023-12-01,Grand Est,0.5733333333333334
2023-12-01,Hauts-de-France,0.505
2023-12-01,Normandie,0.2175
2023-12-01,Nouvelle-Aquitaine,1.66
2023-12-01,Occitanie,0.8
2023-12-01,Pays de la Loire,0.7
2023-12-01,Provence-Alpes-Côte d'Azur,0.84
2023-12-01,Île-de-France,0.23
2023-12-02,Auvergne-Rhône-Alpes,1.2349999999999999
2023-12-02,Bourgogne-Franche-Comté,0.35
2023-12-02,Bretagne,1.135
2023-12-02,Centre-Val de Loire,1.61
2023-12-02,Corse,4.225
2023-12-02,Grand Est,0.6883333333333334
2023-12-02,Hauts-de-France,0.8099999999999999
2023-12-02,Normandie,0.27249999999999996
2023-12-02,Nouvelle-Aquitaine,2.1033333333333335
2023-12-02,Occitanie,0.6625
2023-12-02,Pays de la Loire,0.71
2023-12-02,Provence-Alpes-Côte d'Azur,1.0
2023-12-02,Île-de-France,0.26
2023-12-03,Auvergne-Rhône-Alpes,1.4075
2023-12-03,Bourgogne-Franche-Comté,0.375
2023-12-03,Bretagne,1.05
2023-12-03,Centre-Val de Loire,1.88
2023-12-03,Corse,2.05
2023-12-03,Grand Est,0.85
2023-12-03,Hauts-de-France,1.18
2023-12-03,Normandie,0.31
2023-12-03,Nouvelle-Aquitaine,2.7066666666666666
2023-12-03,Occitanie,0.5800000000000001
2023-12-03,Pays de la Loire,0.72
2023-12-03,Provence-Alpes-Côte d'Azur,1.24
2023-12-03,Île-de-France,0.28
2023-12-04,Auvergne-Rhône-Alpes,1.4549999999999998
2023-12-04,Bourgogne-Franche-Comté,0.375
2023-12-04,Bretagne,0.93
2023-12-04,Centre-Val de Loire,1.93
2023-12-04,Corse,1.485
2023-12-04,Grand Est,1.0033333333333332
2023-12-04,Hauts-de-France,1.615
2023-12-04,Normandie,0.33499999999999996
2023-12-04,Nouvelle-Aquitaine,3.41
2023-12-04,Occitanie,0.5375000000000001
2023-12-04,Pays de la Loire,0.69
2023-12-04,Provence-Alpes-Côte d'Azur,1.31
2023-12-04,Île-de-France,0.27
2023-12-05,Auvergne-Rhône-Alpes,1.4825
2023-12-05,Bourgogne-Franche-Comté,0.365
2023-12-05,Bretagne,0.865
2023-12-05,Centre-Val de Loire,1.87
2023-12-05,Corse,1.3
2023-12-05,Grand Est,1.1433333333333333
2023-12-05,Hauts-de-France,1.97
2023-12-05,Normandie,0.33499999999999996
2023-12-05,Nouvelle-Aquitaine,4.011666666666667
2023-12-05,Occitanie,0.465
2023-12-05,Pays de la Loire,0.655
2023-12-05,Provence-Alpes-Côte d'Azur,1.24
2023-12-05,Île-de-France,0.25
2023-12-06,Auvergne-Rhône-Alpes,1.4749999999999999
2023-12-06,Bourgogne-Franche-Comté,0.3775
2023-12-06,Bretagne,0.82
2023-12-06,Centre-Val de Loire,1.87
2023-12-06,Corse,0.755
2023-12-06,Grand Est,1.2333333333333334
2023-12-06,Hauts-de-France,2.01
2023-12-06,Normandie,0.3125
2023-12-06,Nouvelle-Aquitaine,4.506666666666667
2023-12-06,Occitanie,0.4175
2023-12-06,Pays de la Loire,0.68
2023-12-06,Provence-Alpes-Côte d'Azur,1.27
2023-12-06,Île-de-France,0.24
2023-12-07,Auvergne-Rhône-Alpes,1.48
2023-12-07,Bourgogne-Franche-Comté,0.41000000000000003
2023-12-07,Bretagne,0.785
2023-12-07,Centre-Val de Loire,1.91
2023-12-07,Corse,0.28
2023-12-07,Grand Est,1.2383333333333333
2023-12-07,Hauts-de-France,1.795
2023-12-07,Normandie,0.2875
2023-12-07,Nouvelle-Aquitaine,4.783333333333333
2023-12-07,Occitanie,0.4175
2023-12-07,Pays de la Loire,0.755
2023-12-07,Provence-Alpes-Côte d'Azur,1.43
2023-12-07,Île-de-France,0.25
2023-12-08,Auvergne-Rhône-Alpes,1.6675
2023-12-08,Bourgogne-Franche-Comté,0.4325
2023-12-08,Bretagne,0.805
2023-12-08,Centre-Val de Loire,1.98
2023-12-08,Corse,0.055
2023-12-08,Grand Est,1.21
2023-12-08,Hauts-de-France,1.55
2023-12-08,Normandie,0.2775
2023-12-08,Nouvelle-Aquitaine,4.593333333333333
2023-12-08,Occitanie,0.45499999999999996
2023-12-08,Pays de la Loire,0.8
2023-12-08,Provence-Alpes-Côte d'Azur,1.5
2023-12-08,Île-de-France,0.26
2023-12-09,Auvergne-Rhône-Alpes,1.6975
2023-12-09,Bourgogne-Franche-Comté,0.4225
2023-12-09,Bretagne,0.98
2023-12-09,Centre-Val de Loire,1.9
2023-12-09,Corse,0.0
2023-12-09,Grand Est,1.1083333333333334
2023-12-09,Hauts-de-France,1.205
2023-12-09,Normandie,0.255
2023-12-09,Nouvelle-Aquitaine,4.153333333333333
2023-12-09,Occitanie,0.5475
2023-12-09,Pays de la Loire,0.885
2023-12-09,Provence-Alpes-Côte d'Azur,1.66
2023-12-09,Île-de-France,0.27
2023-12-10,Auvergne-Rhône-Alpes,1.8225
2023-12-10,Bourgogne-Franche-Comté,0.40249999999999997
2023-12-10,Bretagne,1.085
2023-12-10,Centre-Val de Loire,1.68
2023-12-10,Corse,0.0
2023-12-10,Grand Est,0.9966666666666666
2023-12-10,Hauts-de-France,0.7999999999999999
2023-12-10,Normandie,0.2425
2023-12-10,Nouvelle-Aquitaine,3.3866666666666667
2023-12-10,Occitanie,0.6925
2023-12-10,Pays de la Loire,0.935
2023-12-10,Provence-Alpes-Côte d'Azur,1.89
2023-12-10,Île-de-France,0.27
2023-12-11,Auvergne-Rhône-Alpes,1.9549999999999998
2023-12-11,Bourgogne-Franche-Comté,0.375
2023-12-11,Bretagne,1.145
2023-12-11,Centre-Val de Loire,1.5
2023-12-11,Corse,0.0
2023-12-11,Grand Est,0.895
2023-12-11,Hauts-de-France,0.5525
2023-12-11,Normandie,0.2275
2023-12-11,Nouvelle-Aquitaine,2.7533333333333334
2023-12-11,Occitanie,0.855
2023-12-11,Pays de la Loire,0.875
2023-12-11,Provence-Alpes-Côte d'Azur,2.02
2023-12-11,Île-de-France,0.27
2023-12-12,Auvergne-Rhône-Alpes,2.0075000000000003
2023-12-12,Bourgogne-Franche-Comté,0.35
2023-12-12,Bretagne,1.125
2023-12-12,Centre-Val de Loire,1.39
2023-12-12,Corse,0.0
2023-12-12,Grand Est,0.8649999999999999
2023-12-12,Hauts-de-France,0.39999999999999997
2023-12-12,Normandie,0.20750000000000002
2023-12-12,Nouvelle-Aquitaine,2.186666666666667
2023-12-12,Occitanie,0.9425000000000001
2023-12-12,Pays de la Loire,0.755
2023-12-12,Provence-Alpes-Côte d'Azur,2.01
2023-12-12,Île-de-France,0.25
2023-12-13,Auvergne-Rhône-Alpes,1.8725
2023-12-13,Bourgogne-Franche-Comté,0.3275
2023-12-13,Bretagne,1.01
2023-12-13,Centre-Val de Loire,1.33
2023-12-13,Corse,0.0
2023-12-13,Grand Est,0.84
2023-12-13,Hauts-de-France,0.30500000000000005
2023-12-13,Normandie,0.20500000000000002
2023-12-13,Nouvelle-Aquitaine,1.72
2023-12-13,Occitanie,1.025
2023-12-13,Pays de la Loire,0.65
2023-12-13,Provence-Alpes-Côte d'Azur,1.97
2023-12-13,Île-de-France,0.23
2023-12-14,Auvergne-Rhône-Alpes,1.5899999999999999
2023-12-14,Bourgogne-Franche-Comté,0.2975
2023-12-14,Bretagne,0.845
2023-12-14,Centre-Val de Loire,1.22
2023-12-14,Corse,0.0
2023-12-14,Grand Est,0.8583333333333334
2023-12-14,Hauts-de-France,0.25
