date_semaine,region,annee,taux_ias,taux_ias_std,taux_ias_min,taux_ias_max,urgences_grippe,sos_medecins,vacc_moins_65_risque,vacc_65_plus,vacc_65_74,vacc_75_plus,mois,semaine_annee,jour_annee,saison,annee_epidemio
2020-10-19,Bourgogne-Franche-Comté,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,71.64111749437501,199.86583268666664,40.8375,59.7,,,10,43,293,hiver,2021
2020-10-19,Bretagne,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,22.9090516735,327.3672091413333,40.775,65.325,,,10,43,293,hiver,2021
2020-10-19,Centre-Val de Loire,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,200.7203110383333,267.02269693,41.300000000000004,62.18333333333334,,,10,43,293,hiver,2021
2020-10-19,Corse,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,0.0,124.37810945,34.5,54.95,,,10,43,293,hiver,2021
2020-10-19,Grand Est,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,70.10195359069999,644.1548621539999,41.010000000000005,60.529999999999994,,,10,43,293,hiver,2021
2020-10-19,Guadeloupe,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,136.42564802,0.0,17.2,27.5,,,10,43,293,hiver,2021
2020-10-19,Guyane,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,338.40947547,0.0,14.0,21.9,,,10,43,293,hiver,2021
2020-10-19,Hauts-de-France,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,177.7959714768,455.78581318333335,43.059999999999995,61.74000000000001,,,10,43,293,hiver,2021
2020-10-19,Mayotte,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,0.0,0.0,,,,,10,43,293,hiver,2021
2020-10-19,Normandie,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,174.2803207474,404.5337659033333,43.54,62.839999999999996,,,10,43,293,hiver,2021
2020-10-19,Nouvelle-Aquitaine,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,61.135879936,623.81518919,40.699999999999996,61.18333333333334,,,10,43,293,hiver,2021
2020-10-19,Occitanie,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,80.05976028561538,496.0825608575,37.80769230769231,58.79230769230769,,,10,43,293,hiver,2021
2020-10-19,Pays de la Loire,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,30.0129359662,134.84358145,39.44,62.68000000000001,,,10,43,293,hiver,2021
2020-10-19,Provence-Alpes-Côte d'Azur,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,60.20575172283333,650.1282396,34.53333333333333,55.5,,,10,43,293,hiver,2021
2020-10-19,Réunion,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,76.423385556,0.0,,,,,10,43,293,hiver,2021
2020-10-19,Île-de-France,2020,17.357142857142858,0.0,17.357142857142858,17.357142857142858,307.15931233075,620.517332458,34.6,57.625,,,10,43,293,hiver,2021
2020-10-26,Auvergne-Rhône-Alpes,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,50.10715824666667,384.0640189971666,40.416666666666664,58.958333333333336,,,10,44,300,hiver,2021
2020-10-26,Bourgogne-Franche-Comté,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,72.39777456237499,194.08054342666665,40.8375,59.7,,,10,44,300,hiver,2021
2020-10-26,Bretagne,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,48.1200584575,156.25343103866666,40.775,65.325,,,10,44,300,hiver,2021
2020-10-26,Centre-Val de Loire,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,146.79527206333333,320.27876227333337,41.300000000000004,62.18333333333334,,,10,44,300,hiver,2021
2020-10-26,Corse,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,0.0,0.0,34.5,54.95,,,10,44,300,hiver,2021
2020-10-26,Grand Est,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,2.5773195876,129.379402804,41.010000000000005,60.529999999999994,,,10,44,300,hiver,2021
2020-10-26,Guadeloupe,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,70.028011204,0.0,17.2,27.5,,,10,44,300,hiver,2021
2020-10-26,Guyane,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,188.56065368,0.0,14.0,21.9,,,10,44,300,hiver,2021
2020-10-26,Hauts-de-France,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,91.6937198388,480.83729496,43.059999999999995,61.74000000000001,,,10,44,300,hiver,2021
2020-10-26,Mayotte,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,0.0,0.0,,,,,10,44,300,hiver,2021
2020-10-26,Normandie,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,291.3720421344,329.30299850333336,43.54,62.839999999999996,,,10,44,300,hiver,2021
2020-10-26,Nouvelle-Aquitaine,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,51.25461563625,649.3128165925,40.699999999999996,61.18333333333334,,,10,44,300,hiver,2021
2020-10-26,Occitanie,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,65.12228504361539,249.0576289075,37.80769230769231,58.79230769230769,,,10,44,300,hiver,2021
2020-10-26,Pays de la Loire,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,63.294159607400005,115.37352178,39.44,62.68000000000001,,,10,44,300,hiver,2021
2020-10-26,Provence-Alpes-Côte d'Azur,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,88.15849995333333,327.1633643225,34.53333333333333,55.5,,,10,44,300,hiver,2021
2020-10-26,Réunion,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,39.510075069,0.0,,,,,10,44,300,hiver,2021
2020-10-26,Île-de-France,2020,23.099999999999998,0.0,23.099999999999998,23.099999999999998,299.60147245625,392.1638256324,34.6,57.625,,,10,44,300,hiver,2021
